z,electricalConductivity,thermalConductivity,specificHeat,electricalType,crustAbundance,oceanAbundance,ionizationEnergies,isotopes,isotopeAbundance,universeAbundance,humanAbundance
37,8000000,58,0.363,Conductor,0.006,,403;2633;3860;5080;6850;8140;9570;13120,85;87,0.7217;0.2783,1e-06,0.00046
38,4000000,35,0.301,Isolator,0.036,7.9,549.5;1064.2;4138;5500;6910;8760;10230;11800,84;86;87;88,0.0056;0.0986;0.07;0.8258,4e-06,0.00046
39,1800000,17,0.298,N/A,0.0029,,600;1180;1980;5847;7430;8970;11190;12450,89,1,7e-07,
40,2400000,23,0.278,Conductor,0.013,,640.1;1270;2218;3313;7752;9500,90;91;92;94;96,0.5147;0.1123;0.1716;0.1736;0.0278,5e-06,5e-06
41,6700000,54,0.265,Conductor,0.0017,,652.1;1380;2416;3700;4877;9847;12100,93,1,2e-07,
42,2000000,139,0.251,Conductor,0.00011,,684.3;1560;2618;4480;5257;6640.8;12125;13860,92;94;95;96;97;98;100,0.14649;0.09187;0.15873;0.16673;0.09582;0.24292;0.09744,5e-07,1e-05
43,500000,51,0.243,Conductor,-1,,702;1470;2850,,,,0
44,1400000,120,0.238,Conductor,1e-07,,710.2;1620;2747,96;98;99;100;101;102;104,0.0554;0.0187;0.1276;0.126;0.1706;0.3155;0.1862,4e-07,
45,2300000,150,0.243,Conductor,1e-07,,719.7;1740;2997,103,1,6e-08,
46,9500000,71,0.244,Conductor,6.3e-07,,804.4;1870;3177,102;104;105;106;108;110,0.0102;0.1114;0.2233;0.2733;0.2646;0.1172,2e-07,
47,63000000,430,0.235,Conductor,7.5e-06,,731;2070;3361;4728,107;109,0.51839;0.48161,6e-08,
48,14000000,96,0.233,Conductor,1.5e-05,,867.8;1631.4;3616,106;108;110;111;112;113;114;116,0.01245;0.00888;0.1247;0.12795;0.24109;0.12227;0.28754;0.07512,2e-07,7e-05
49,3500000,82,0.233,N/A,1.6e-05,,558.3;1820.7;2704;5210,113,0.04281,3e-08,
50,9100000,67,0.228,Conductor,0.00022,,708.6;1411.8;2943;3930.3;7456,112;114;115;116;117;118;119;120;122;124,0.0097;0.0066;0.0034;0.1454;0.0768;0.2422;0.0859;0.3258;0.0463;0.0579,4e-07,2e-05
51,2500000,24,0.207,Conductor,2e-05,,834;1594.9;2440;4260;5400;10400,121;123,0.5721;0.4279,4e-08,
52,0.01,3,0.202,Semiconductor,1e-07,,869.3;1790;2698;3610;5668;6820;13200,120;122;123;124;125;126;128;130,0.0009;0.0255;0.0089;0.0474;0.0707;0.1884;0.3174;0.3408,9e-07,
53,1.4e-07,0.449,0.214,Isolator,4.5e-05,,1008.4;1845.9;3180,127,1,1e-07,2e-05
54,0,0.00565,0.158,N/A,3e-09,,1170.4;2046.4;3099.4,124;126;128;129;130;131;132;134;136,0.00095;0.00089;0.0191;0.26401;0.04071;0.21232;0.26909;0.10436;0.08857,1e-06,
55,5000000,36,0.242,Conductor,0.00019,0.5,375.7;2234.3;3400,133,1,8e-08,2e-06
56,3100000,18,0.204,N/A,0.034,,502.9;965.2;3600,130;132;134;135;136;137;138,0.0011;0.001;0.0242;0.0659;0.0785;0.1123;0.717,1e-06,3e-05
57,1700000,13,0.195,N/A,0.0034,,538.1;1067;1850.3;4819;5940,139,0.9991119,2e-07,
58,1100000,11,0.192,Conductor,0.006,,534.4;1050;1949;3547;6325;7490,136;138;140;142,0.00185;0.00251;0.8845;0.11114,1e-06,
59,1300000,13,0.193,Conductor,0.00086,,527;1020;2086;3761,141,1,2e-07,
60,1600000,17,0.19,Conductor,0.0033,,533.1;1040;2130;3900,142;143;144;145;146;148;150,0.27152;0.12174;0.23798;0.08293;0.17189;0.05756;0.05638,1e-06,
61,1400000,15,0.18,Conductor,-1,,540;1050;2150;3970,,,,0
62,1100000,13,0.18,Conductor,0.0006,,544.5;1070;2260;3990,144;147;148;149;150;152;154,0.0308;0.15;0.1125;0.1382;0.0737;0.2674;0.2274,5e-07,
63,1100000,14,0.182,N/A,0.00018,,547.1;1085;2404;4120,151;153,0.4781;0.5219,5e-08,
64,740000,11,0.236,Conductor,0.00052,,593.4;1170;1990;4250,152;154;155;156;157;158;160,0.00204;0.02187;0.14828;0.20493;0.15657;0.2482;0.21811,2e-07,
65,830000,11,0.182,Conductor,9e-05,,565.8;1110;2114;3839,159,1,5e-08,
66,900000,11,0.17,Conductor,0.00062,,573;1130;2200;3990,156;158;160;161;162;163;164,0.00056;0.00095;0.02329;0.18889;0.25475;0.24896;0.2826,2e-07,
67,860000,16,0.165,Conductor,0.00012,,581;1140;2204;4100,165,1,5e-08,
68,800000,15,0.168,Conductor,0.0003,,589.3;1150;2194;4120,162;164;166;167;168;170,0.00139;0.01601;0.33503;0.22869;0.26978;0.1491,2e-07,
69,720000,17,0.16,Conductor,4.5e-05,,596.7;1160;2285;4120,169,1,1e-08,
70,350000,39,0.155,Conductor,0.00028,,603.4;1174.8;2417;4203,168;170;171;172;173;174;176,0.00126;0.03023;0.14216;0.21754;0.16098;0.31896;0.12887,2e-07,
71,1800000,16,0.154,Conductor,5.6e-05,,523.5;1340;2022.3;4370;6445,175,0.97414,1e-08,
72,3100000,23,0.146,Conductor,0.00033,,658.5;1440;2250;3216,174;176;177;178;179;180,0.00161;0.0524;0.1858;0.2728;0.1363;0.3512,7e-08,
73,7700000,57,0.14,Conductor,0.00017,,761;1500,181,0.9998824,8e-09,
74,18000000,170,0.134,Conductor,0.00011,,770;1700,180;182;183;184;186,0.0012;0.265;0.1431;0.3064;0.2843,5e-08,
75,5600000,48,0.137,Conductor,7e-08,,760;1260;2510;3640,185,0.374,2e-08,
76,12000000,87,0.13,Conductor,1e-07,,840;1600,184;186;187;188;189;190;192,0.0002;0.0159;0.0196;0.1324;0.1615;0.2626;0.4078,3e-07,
77,21000000,150,0.131,Conductor,1e-07,,880;1600,191;193,0.3723;0.6277,2e-07,
